prompt_id,packet_card_number,packet_number,character,category,venue,position,text,timed,duration_seconds
TRS21-3,21,5,Emu (Bev),The Royal Show,royal_show,3,"Perform a 20-second mime in which you change your entire physicality — age, size, mood — every five seconds. Four distinct states. No words.",TRUE,20
TRS21-4,21,5,Emu (Bev),The Royal Show,royal_show,4,"Perform a complete story — setup, conflict, resolution — in mime, in 20 seconds. No words, no sounds. Table must identify all three stages without being told.",TRUE,20
TRS21-5,21,5,Emu (Bev),The Royal Show,royal_show,5,Mime re-enacting the funniest moment of the game so far. 15 seconds.,TRUE,15
TRS21-6,21,5,Emu (Bev),The Royal Show,royal_show,6,Mime re-enacting the worst performance of the game so far — affectionately. 20 seconds. No words.,TRUE,20
TRS21-7,21,5,Emu (Bev),The Royal Show,royal_show,7,"Mime a highlight reel — three moments from the game, back to back, five seconds each. No words.",TRUE,15
TRS21-8,21,5,Emu (Bev),The Royal Show,royal_show,8,Mime a slow-motion replay of the most dramatic moment of the game — with commentary from the table calling out what they're seeing. 30 seconds. No words from you.,TRUE,30
TRS22-1,22,6,Galah (Kel),The Royal Show,royal_show,1,Pick up any object from the table. Mime using it for something it was not designed to do. 15 seconds.,TRUE,15
TRS22-2,22,6,Galah (Kel),The Royal Show,royal_show,2,Pick any object from the table. Mime it as a dangerous weapon — with appropriate caution and respect. 20 seconds. No words.,TRUE,20
TRS22-3,22,6,Galah (Kel),The Royal Show,royal_show,3,"Pick any object from the table. Perform a 20-second mime in which this object is alive and trying to escape. No words, no sounds.",TRUE,20
TRS22-4,22,6,Galah (Kel),The Royal Show,royal_show,4,"Pick any two objects from the table. Perform a 30-second mime in which they are in a relationship that has just ended. No words, no sounds.",TRUE,30
TRS22-5,22,6,Galah (Kel),The Royal Show,royal_show,5,Mime receiving the best news of your life — then immediately receiving the worst. Back to back. 15 seconds.,TRUE,15
TRS22-6,22,6,Galah (Kel),The Royal Show,royal_show,6,Mime a person trying to hold in an enormous laugh in a very serious situation. 20 seconds. No sounds.,TRUE,20
TRS22-7,22,6,Galah (Kel),The Royal Show,royal_show,7,"Mime falling in love — over 20 seconds — with an inanimate object on the table. Full arc: noticing, interest, devotion. No words, no sounds.",TRUE,20
TRS22-8,22,6,Galah (Kel),The Royal Show,royal_show,8,"Perform a 30-second mime in which you experience five emotions in sequence — called by the table — and each one must be readable within three seconds of the call. No words, no sounds.",TRUE,30
TRS23-1,23,7,Echidna (Simmo),The Royal Show,royal_show,1,"Mime attending a Bunnings sausage sizzle — queue, order, sauce decision, eating. 20 seconds.",TRUE,20
TRS23-2,23,7,Echidna (Simmo),The Royal Show,royal_show,2,Mime an Australian animal encountering a Christmas tree for the first time. 20 seconds. No words.,TRUE,20
TRS23-3,23,7,Echidna (Simmo),The Royal Show,royal_show,3,"Mime a cricket match — you play all roles: bowler, batter, fielder, and crowd — in 25 seconds. No words, no sounds.",TRUE,25
TRS23-4,23,7,Echidna (Simmo),The Royal Show,royal_show,4,"Mime a 30-second scene at a Royal Show: you are competing in an event, something goes wrong, the crowd reacts, and you recover. You play all roles. No words, no sounds.",TRUE,30
TRS23-5,23,7,Echidna (Simmo),The Royal Show,royal_show,5,You and the player to your left both mime the same object simultaneously — table names it. Table votes on who was clearer.,FALSE,
TRS23-6,23,7,Echidna (Simmo),The Royal Show,royal_show,6,You and the player to your right have 15 seconds each to mime the same emotion — table names it. Table votes on who committed more.,TRUE,15
TRS23-7,23,7,Echidna (Simmo),The Royal Show,royal_show,7,"Mirror challenge: you mime any action, the player to your left must mirror it simultaneously. Hold for 20 seconds. Table votes on synchronisation.",TRUE,20
TRS23-8,23,7,Echidna (Simmo),The Royal Show,royal_show,8,"You and the player across from you perform a 30-second mime scene together — no planning, no words. Establish a location, a conflict, a resolution. Table votes on who drove the scene.",TRUE,30
TRS24-1,24,8,Platypus (Val),The Royal Show,royal_show,1,"Mime being controlled by an invisible puppeteer for 15 seconds. Every movement is dictated by the player to your left, who calls it out.",TRUE,15
TRS24-2,24,8,Platypus (Val),The Royal Show,royal_show,2,"Mime in reverse — the table names an activity, you mime it backwards, from end to beginning. 20 seconds. No words.",TRUE,20
TRS24-3,24,8,Platypus (Val),The Royal Show,royal_show,3,"Perform a 20-second mime — but every five seconds, the player to your right calls a new location and you must instantly transport yourself there. No words.",TRUE,20
TRS24-4,24,8,Platypus (Val),The Royal Show,royal_show,4,"Perform a 30-second mime with your non-dominant hand only. Table names the activity. No words, no sounds.",TRUE,30
TRS24-5,24,8,Platypus (Val),The Royal Show,royal_show,5,Take a final bow — mime receiving a standing ovation from a sold-out arena. 15 seconds.,TRUE,15
TRS24-6,24,8,Platypus (Val),The Royal Show,royal_show,6,Mime a 20-second highlight reel of your own best performance of the night. You direct and star. No words.,TRUE,20
TRS24-7,24,8,Platypus (Val),The Royal Show,royal_show,7,"Mime accepting a lifetime achievement award at the Royal Show — trophy, tears, crowd, speech. No words. 25 seconds.",TRUE,25
TRS24-8,24,8,Platypus (Val),The Royal Show,royal_show,8,"Perform a 35-second mime of the entire game — setup, performances, conflict, winner — compressed. Every player must be represented. No words, no sounds.",TRUE,35
TSP25-1,25,1,Kookaburra (Nev),The School Play,school_play,1,"Deliver this line in the most dramatic accent you can manage — announce your accent first: ""I'm afraid the turkey is going to be at least another forty-five minutes.""",FALSE,
TSP25-2,25,1,Kookaburra (Nev),The School Play,school_play,2,"Perform a 20-second scene: you are a first-time actor who has just forgotten all their lines at the school play. Stay in character. Scene ends when you ""remember"" your line and deliver it.",TRUE,20
TSP25-3,25,1,Kookaburra (Nev),The School Play,school_play,3,"Player to your right gives you an emotion. Player to your left gives you a location. Deliver this line combining both — one attempt only: ""I can't believe it's come to this.""",FALSE,
TSP25-4,25,1,Kookaburra (Nev),The School Play,school_play,4,"Perform a 30-second scene: you are an extremely pretentious theatre director giving notes to the table after watching their ""performance."" Give specific feedback to at least two players by name.",TRUE,30
TSP25-5,25,1,Kookaburra (Nev),The School Play,school_play,5,"Deliver this line to the player to your left, in a dramatic accent of your choice: ""I always knew it would come to this between us.""",FALSE,
TSP25-6,25,1,Kookaburra (Nev),The School Play,school_play,6,Player to your right gives you one word. Deliver a 20-second dramatic monologue to the player to your left using that word as the theme. Stay in character throughout.,TRUE,20
TSP25-7,25,1,Kookaburra (Nev),The School Play,school_play,7,Perform a 20-second scene in which you are meeting the player to your right for the very first time — but you are absolutely certain you have met before. They may respond.,TRUE,20
TSP25-8,25,1,Kookaburra (Nev),The School Play,school_play,8,Perform a 40-second farewell speech to the player across from you — in character as a Shakespearean villain who has just lost everything. Name them at least twice.,TRUE,40
TSP26-1,26,2,Cockatoo (Shazza),The School Play,school_play,1,"Deliver this line to the whole table as if making a major announcement at a school assembly: ""I have something very important to tell you all."" Then pause. Then improvise the announcement.",FALSE,
TSP26-2,26,2,Cockatoo (Shazza),The School Play,school_play,2,"Perform a 20-second scene: you are the narrator of a nature documentary, and the table is the wildlife. Describe what you observe. At least two players must be mentioned.",TRUE,20
TSP26-3,26,2,Cockatoo (Shazza),The School Play,school_play,3,"Player to your left names an emotion. Deliver the following line to the whole table expressing that emotion completely: ""Right. Who's ready for dessert?"" One attempt only.",FALSE,
TSP26-4,26,2,Cockatoo (Shazza),The School Play,school_play,4,Perform a 40-second scene: you are a motivational speaker addressing the table at a corporate retreat. This Christmas dinner is the team-building exercise. At least three players must be addressed by name.,TRUE,40
TSP26-5,26,2,Cockatoo (Shazza),The School Play,school_play,5,"Deliver this line completely straight, as if it is the most normal thing in the world: ""I've been living under the table for three weeks and nobody noticed.""",FALSE,
TSP26-6,26,2,Cockatoo (Shazza),The School Play,school_play,6,Perform a 20-second scene: you are an actor in a play who knows they are in a play and keeps breaking the fourth wall — but the character doesn't.,TRUE,20
TSP26-7,26,2,Cockatoo (Shazza),The School Play,school_play,7,Deliver a 20-second confession — in a dramatic accent — for something minor that happened at this dinner tonight. Treat it as a major crime.,TRUE,20
TSP26-8,26,2,Cockatoo (Shazza),The School Play,school_play,8,Perform a 40-second scene: you are a stage magician's assistant who is tired of being sawn in half and has decided to make a stand. Mid-performance. In front of a packed house.,TRUE,40
TSP27-1,27,3,Quokka (Trev),The School Play,school_play,1,"Deliver this line in a strong Australian accent, as if it is the most devastating news you have ever received: ""They've sold out of prawns.""",FALSE,
TSP27-2,27,3,Quokka (Trev),The School Play,school_play,2,"Perform a 20-second scene: you are the Ghost of Christmas Present, and this dinner table is your evidence. Present your case.",TRUE,20
TSP27-3,27,3,Quokka (Trev),The School Play,school_play,3,Perform a 20-second scene: you are a very small child on Christmas morning who has just found out that Santa is not real. This is the scene.,TRUE,20
TSP27-4,27,3,Quokka (Trev),The School Play,school_play,4,Perform a 40-second dramatic reading of a Christmas cracker joke — as if it is Hamlet's soliloquy. Minimum two costume adjustments using items on the table.,TRUE,40
TSP27-5,27,3,Quokka (Trev),The School Play,school_play,5,"Deliver this line as the opening of a dramatic story — then improvise the next sentence: ""Nobody expected it to end like this.""",FALSE,
TSP27-6,27,3,Quokka (Trev),The School Play,school_play,6,Perform a 20-second scene: you are a character in a soap opera who has just discovered a terrible secret about someone at this table. You cannot say what it is.,TRUE,20
TSP27-7,27,3,Quokka (Trev),The School Play,school_play,7,"Player to your left gives you a genre (horror, romance, Western, etc.). Perform a 20-second scene from a film in that genre — set at this Christmas table.",TRUE,20
TSP27-8,27,3,Quokka (Trev),The School Play,school_play,8,Perform a 40-second dramatic monologue as the last surviving member of a civilisation explaining to future generations what Christmas dinner was. Treat it as sacred.,TRUE,40
TSP28-1,28,4,Magpie (Timbo),The School Play,school_play,1,"Deliver this line in the voice of someone much older than you: ""In my day, Christmas was very different.""",FALSE,
TSP28-2,28,4,Magpie (Timbo),The School Play,school_play,2,Perform a 20-second scene as any well-known Australian — in character — reacting to this Christmas dinner for the first time. Stay in character throughout.,TRUE,20
TSP28-3,28,4,Magpie (Timbo),The School Play,school_play,3,"Player to your right names a famous person. Perform a 20-second scene as that person, in their accent, discovering they've been given a Christmas cracker.",TRUE,20
TSP28-4,28,4,Magpie (Timbo),The School Play,school_play,4,"Perform a 40-second scene as two characters in rapid alternation — you play both, switching every few lines. Characters must be clearly distinct in voice, physicality, and attitude.",TRUE,40
TSP28-5,28,4,Magpie (Timbo),The School Play,school_play,5,"Player to your left gives you an emotion. Deliver this line with that emotion completely: ""Could someone pass the gravy?"" One attempt only.",FALSE,
TSP28-6,28,4,Magpie (Timbo),The School Play,school_play,6,Player to your right gives you an accent. Player to your left gives you an occupation. Perform a 20-second scene combining both.,TRUE,20
TSP28-7,28,4,Magpie (Timbo),The School Play,school_play,7,"The table gives you a setting, a character, and a line of dialogue. Perform a 20-second scene incorporating all three.",TRUE,20
TSP28-8,28,4,Magpie (Timbo),The School Play,school_play,8,"Each player gives you one instruction for how to perform — louder, slower, angrier, etc. Deliver this speech incorporating all instructions simultaneously: ""I would like to thank everyone for coming.""",FALSE,
TSP29-1,29,5,Emu (Bev),The School Play,school_play,1,"Deliver this line in three completely different accents, back to back, no pausing: ""Merry Christmas, everyone.""",FALSE,
TSP29-2,29,5,Emu (Bev),The School Play,school_play,2,Perform a 20-second scene speaking only in one-word sentences. Every sentence: one word. No exceptions.,TRUE,20
TSP29-3,29,5,Emu (Bev),The School Play,school_play,3,"Perform a 20-second dramatic monologue in which you must change emotion completely every five seconds. Four emotions, called by the table.",TRUE,20
TSP29-4,29,5,Emu (Bev),The School Play,school_play,4,"Perform a 30-second scene that begins in whispers and ends in full theatrical volume — linear escalation, no jumps. Scene content: your choice.",TRUE,30
TSP29-5,29,5,Emu (Bev),The School Play,school_play,5,"Deliver this line as a callback to the first thing anyone said in this game: ""And that, ladies and gentlemen, is where it all began.""",FALSE,
TSP29-6,29,5,Emu (Bev),The School Play,school_play,6,Perform a 20-second scene: you are a documentarian interviewing the table about the events of tonight's game. At least two players asked a question.,TRUE,20
TSP29-7,29,5,Emu (Bev),The School Play,school_play,7,"Perform a 20-second ""director's commentary"" on the best performance of the game so far — what worked, what didn't, what it meant. Stay in character as a pompous critic.",TRUE,20
TSP29-8,29,5,Emu (Bev),The School Play,school_play,8,Perform a 40-second dramatic courtroom scene in which you prosecute the player to your left for their worst performance tonight. Call one witness. Evidence must be specific.,TRUE,40
TSP30-1,30,6,Galah (Kel),The School Play,school_play,1,"Pick up any object from the table. Deliver this line to it, in character: ""I never thought it would come to this between us.""",FALSE,
TSP30-2,30,6,Galah (Kel),The School Play,school_play,2,"Choose any object from the table. Perform a 20-second scene in which this object is a character with feelings, and you must deliver bad news to it.",TRUE,20
TSP30-3,30,6,Galah (Kel),The School Play,school_play,3,Pick any object. It is a sacred artefact. Perform a 20-second scene in which you are an archaeologist discovering it for the first time.,TRUE,20
TSP30-4,30,6,Galah (Kel),The School Play,school_play,4,"Pick any two objects. Cast them as the leads in a 40-second dramatic scene — give each a name, a voice, and a conflict. Perform all roles.",TRUE,40
TSP30-5,30,6,Galah (Kel),The School Play,school_play,5,"Deliver this line with absolute fury: ""Would anyone like more potatoes?"" No smiling. No breaking.",FALSE,
TSP30-6,30,6,Galah (Kel),The School Play,school_play,6,"Perform a 20-second scene in which you are trying very hard to be calm — and failing. The subject: something minor, like a slightly uncomfortable chair.",TRUE,20
TSP30-7,30,6,Galah (Kel),The School Play,school_play,7,"Player to your right names two contradictory emotions. Deliver this line expressing both simultaneously: ""Well. Here we are.""",FALSE,
TSP30-8,30,6,Galah (Kel),The School Play,school_play,8,Perform a 40-second scene in which your character begins completely composed and ends in total emotional collapse — over something increasingly trivial. Show the full journey.,TRUE,40
TSP31-1,31,7,Echidna (Simmo),The School Play,school_play,1,"Deliver this line in a thick Australian accent, with full national pride: ""Yeah, look, it's not for everyone.""",FALSE,
TSP31-2,31,7,Echidna (Simmo),The School Play,school_play,2,Perform a 20-second scene: you are a tourist encountering an Australian animal for the first time. Animal of the table's choice.,TRUE,20
TSP31-3,31,7,Echidna (Simmo),The School Play,school_play,3,Perform a 20-second scene: you are a tour guide explaining this Christmas dinner to an international visitor as if it is a sacred Australian ritual.,TRUE,20
TSP31-4,31,7,Echidna (Simmo),The School Play,school_play,4,Perform a 40-second dramatic monologue as any figure from Australian history — real or legendary — addressing this table as if it represents the nation.,TRUE,40
TSP31-5,31,7,Echidna (Simmo),The School Play,school_play,5,"You and the player to your left both deliver the same line in different accents — table names the line. Table votes on who committed more. ""I had absolutely nothing to do with it.""",FALSE,
TSP31-6,31,7,Echidna (Simmo),The School Play,school_play,6,Perform a 20-second improvised scene with the player to your right. Table gives you: a location and a problem. No planning. Table votes on who stayed in character better.,TRUE,20
TSP31-7,31,7,Echidna (Simmo),The School Play,school_play,7,You and the player to your left both perform a 15-second dramatic reading of the same Christmas cracker joke. Table votes on the more committed performance.,TRUE,15
TSP31-8,31,7,Echidna (Simmo),The School Play,school_play,8,Perform a 40-second two-person scene with the player across from you. One of you is telling the truth. One is lying. Table must guess who is who. No planning.,TRUE,40
TSP32-1,32,8,Platypus (Val),The School Play,school_play,1,"Deliver this line — but speak every word in reverse order: ""I have no idea what you are talking about.""",FALSE,
TSP32-2,32,8,Platypus (Val),The School Play,school_play,2,"Perform a 20-second scene — but you may only use the words ""yes,"" ""no,"" ""but,"" and ""really."" No other words.",TRUE,20
TSP32-3,32,8,Platypus (Val),The School Play,school_play,3,"Perform a 20-second dramatic scene — but every time the player to your left claps once, you freeze. Every time they clap twice, you resume. Scene must still make sense at the end.",TRUE,20
TSP32-4,32,8,Platypus (Val),The School Play,school_play,4,"Perform a 40-second scene in which you play a character who is performing a character — two layers of performance, both distinct, neither breaking.",TRUE,40
TSP32-5,32,8,Platypus (Val),The School Play,school_play,5,Deliver the final line of the evening — whatever feels right — in the most dramatic accent you have. No prompt. Your words. Your moment.,FALSE,
TSP32-6,32,8,Platypus (Val),The School Play,school_play,6,Perform a 30-second curtain call speech — in character as your game Character — thanking the table for a magnificent performance. Stay in character throughout.,TRUE,30
TSP32-7,32,8,Platypus (Val),The School Play,school_play,7,"Perform a 30-second scene: you are the director of this evening, giving notes to the cast after the final performance. Specific feedback for at least three players.",TRUE,30
TSP32-8,32,8,Platypus (Val),The School Play,school_play,8,Perform a 60-second dramatic monologue as your game Character reflecting on what they have learned tonight. Must reference two real moments from the game. Must end with a line the table will remember.,TRUE,60
